JDTDB,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
*******************************************************************************
$$SOE
2451354.265277778, A.D. 1999-Jun-24 18:22:00.0000, -4.006356453740282E-01, -6.100856830456529E-01,  1.456641274713048E-02,  1.685982746797456E-02, -1.106402228750136E-02, -1.124084473636614E-03,  4.216229813791211E-03,  7.300175623790600E-01, -2.879402292910215E-05,
2451354.266666667, A.D. 1999-Jun-24 18:24:00.0000, -4.006122286524355E-01, -6.101010492865724E-01,  1.456485150793298E-02,  1.686025162125171E-02, -1.106336463369657E-02, -1.124099970490105E-03,  4.216229582791975E-03,  7.300175223827823E-01, -2.880061707818719E-05,
2451354.268055555, A.D. 1999-Jun-24 18:26:00.0000, -4.005888113417588E-01, -6.101164146140724E-01,  1.456329024721320E-02,  1.686067574891770E-02, -1.106270696380632E-02, -1.124115465645489E-03,  4.216229351739846E-03,  7.300174823773459E-01, -2.880721119610507E-05,
2451354.269444444, A.D. 1999-Jun-24 18:28:00.0000, -4.005653934420337E-01, -6.101317790281310E-01,  1.456172896497362E-02,  1.686109985097194E-02, -1.106204927783162E-02, -1.124130959102745E-03,  4.216229120634820E-03,  7.300174423627510E-01, -2.881380528284279E-05,
2451354.270833333, A.D. 1999-Jun-24 18:30:00.0000, -4.005419749532957E-01, -6.101471425287256E-01,  1.456016766121657E-02,  1.686152392741384E-02, -1.106139157577349E-02, -1.124146450861852E-03,  4.216228889476899E-03,  7.300174023389978E-01, -2.882039933839786E-05,
2451354.272222222, A.D. 1999-Jun-24 18:32:00.0000, -4.005185558755805E-01, -6.101625051158339E-01,  1.455860633594424E-02,  1.686194797824280E-02, -1.106073385763291E-02, -1.124161940922791E-03,  4.216228658266084E-03,  7.300173623060863E-01, -2.882699336276045E-05,
2451354.273611111, A.D. 1999-Jun-24 18:34:00.0000, -4.004951362089236E-01, -6.101778667894339E-01,  1.455704498915920E-02,  1.686237200345823E-02, -1.106007612341091E-02, -1.124177429285539E-03,  4.216228427002375E-03,  7.300173222640164E-01, -2.883358735591295E-05,
2451354.275000000, A.D. 1999-Jun-24 18:36:00.0000, -4.004717159533605E-01, -6.101932275495028E-01,  1.455548362086371E-02,  1.686279600305953E-02, -1.105941837310848E-02, -1.124192915950076E-03,  4.216228195685772E-03,  7.300172822127881E-01, -2.884018131785396E-05,
2451354.276388889, A.D. 1999-Jun-24 18:38:00.0000, -4.004482951089269E-01, -6.102085873960185E-01,  1.455392223106012E-02,  1.686321997704611E-02, -1.105876060672664E-02, -1.124208400916383E-03,  4.216227964316276E-03,  7.300172421524018E-01, -2.884677524857982E-05,
2451354.277777778, A.D. 1999-Jun-24 18:40:00.0000, -4.004248736756583E-01, -6.102239463289584E-01,  1.455236081975081E-02,  1.686364392541738E-02, -1.105810282426638E-02, -1.124223884184437E-03,  4.216227732893886E-03,  7.300172020828569E-01, -2.885336914807504E-05,
2451354.279166667, A.D. 1999-Jun-24 18:42:00.0000, -4.004014516535904E-01, -6.102393043483005E-01,  1.455079938693816E-02,  1.686406784817274E-02, -1.105744502572872E-02, -1.124239365754218E-03,  4.216227501418602E-03,  7.300171620041540E-01, -2.885996301632885E-05,
